Account Number,Main ContactName,Main ContactNumber,ERF Notes,ERF OrderType,ShipTo Branch,Install Date,Additional NSV,Equipment Category,Equipment Brand,Equipment Quantity,Equipment Using Branch (YES/NO),Equipment Substitution Possible (YES/NO),Equipment Trans Type (CASH SALE/LOAN/RENTAL),Equipment Type (NEW/REFURB),Expendable Category,Expendable Brand,Expendable Quantity,Expendable Using Branch (YES/NO),Expendable Substitution Possible (YES/NO),Expendable Trans Type (CASH SALE/LOAN/RENTAL),Expendable Type (NEW/REFURB)
466044,TestName,123456789,Bulk ERF Test Notes,Cash Sale,Atlanta,6/9/2021,123,Pourovers,"CURTIS, 5899170, POUROVER AP/B CAFE0AP 110V/15A",2,Yes,No,LOAN,Refurb,,,,,,,
466044,TestName,123456789,Bulk ERF Test Notes,Cash Sale,Atlanta,6/9/2021,123,Airpot_Brewers,"BREWMATIC, 1015023, SINGLE AP/B C-21 AIRPOT 110V",1,Yes,No,Cash Sale,New,Racks,BREWMATIC 9500224 AIRPOT WIRE RACK 3 POT (ADD 6000668 & 6000669 X 3),2,Yes,No,Cash Sale,New
466044,TestName,123456789,Bulk ERF Test Notes,Cash Sale,Atlanta,6/9/2021,123,Pourovers,"CURTIS, 5899170, POUROVER AP/B CAFE0AP 110V",1,Yes,,LOAN,Refurb,,,,,,,
466044,TestName,123456789,Bulk ERF Test Notes,Cash Sale,Atlanta,6/9/2021,123,Airpot_Brewers,"BREWMATIC, 1015023, SINGLE AP/B C-21 AIRPOT 110V",1,Yes,No,Cash Sale,New,Racks,BREWMATIC 9500224 AIRPOT WIRE RACK 3 POT (ADD 6000668 & 6000669 X 3),2,Yes,No,Cash Sale,New
566056,TestName1,123456789,Bulk ERF Test Notes1,Cash Sale,Atlanta,6/11/2021,123,,,,,,,,Coffee_Dispensers,CURTIS 5888195 TLXP1901S900 - TLXP 1.9 LITER -  WITH PUSH BUTTON LID - REGULAR (MORTONS),3,Yes,No,Rental,Refurb
566056,TestName1,123456789,Bulk ERF Test Notes1,Cash Sale,Atlanta,6/12/2021,123,Bottle_Brewers,"ANY, 3 STATION LP RIGHT AUTO 110V",3,Yes,No,Rental,New,,,,,,,
566056,TestName1,123456789,Bulk ERF Test Notes1,Cash Sale,Atlanta,6/12/2021,123,Thermal_Brewers,"BREWMATIC, 1032517-R, 2 GAL. TWIN THERMAL 220V",1,Yes,No,Cash Sale,Refurb,,,,,,,
566056,TestName1,123456789,Bulk ERF Test Notes1,Cash Sale,Atlanta,6/12/2021,123,Pourovers,"CURTIS, 5899170, POUROVER AP/B CAFE0AP 110V/15A",2,Yes,No,LOAN,New,Espresso_Accessories,BREWMATIC 58100268 GROUP HEAD BRUSH,1,Yes,No,LOAN,New
566056,TestName1,123456789,Bulk ERF Test Notes1,Cash Sale,Atlanta,6/15/2021,123,Pourovers,"CURTIS, 5899170, POUROVER AP/B CAFE0AP 110V/15A",4,Yes,No,Rental,Refurb,,,,,,,
317225,TestName3,123456789,Bulk ERF Test Notes,Cash Sale,Atlanta,6/9/2021,123,Pourovers,"CURTIS, 5899170, POUROVER AP/B CAFE0AP 110V/15A",1,Yes,,LOAN,Refurb,,,,,,,
317225,TestName3,123456789,Bulk ERF Test Notes,Cash Sale,Atlanta,6/9/2021,123,Airpot_Brewers,"BREWMATIC, 1015023, SINGLE AP/B C-21 AIRPOT 110V",1,Yes,No,Cash Sale,New,Racks,BREWMATIC 9500224 AIRPOT WIRE RACK 3 POT (ADD 6000668 & 6000669 X 3),2,Yes,No,Cash Sale,New
